Website,r_hint,power,content size
frontiersin_org.html,scr-prefetch,44.409492,heavy
frontiersin_org.html,none,46.868116,heavy
frontiersin_org.html,img-preload,45.3503232,heavy
frontiersin_org.html,img-prefetch,38.60568,heavy
frontiersin_org.html,css-preload,44.095644,heavy
frontiersin_org.html,css-prefetch,43.1541,heavy
ft_com.html,url-preconnect,45.351036,light
ft_com.html,scr-preload,42.055632,light
ft_com.html,scr-prefetch,47.547972,light
ft_com.html,none,45.800399,light
ft_com.html,img-preload,46.3781808,light
ft_com.html,img-prefetch,45.0927,light
ft_com.html,css-preload,47.0772,light
ft_com.html,css-prefetch,45.821808,light
garmin_com.html,url-preconnect,44.409492,light
garmin_com.html,scr-preload,42.36948,light
garmin_com.html,scr-prefetch,42.6093696,light
garmin_com.html,none,48.435268,light
garmin_com.html,img-preload,37.202256,light
garmin_com.html,img-prefetch,41.1772896,light
garmin_com.html,css-preload,43.624872,light
garmin_com.html,css-prefetch,47.0772,light
gismeteo_ru.html,url-preconnect,45.978732,light
gismeteo_ru.html,scr-preload,43.311024,light
gismeteo_ru.html,scr-prefetch,46.920276,light
gismeteo_ru.html,none,48.064828,light
gismeteo_ru.html,img-preload,46.4404752,light
gismeteo_ru.html,img-prefetch,44.77626,light
gismeteo_ru.html,css-preload,45.978732,light
gismeteo_ru.html,css-prefetch,45.821808,light
herokuapp_com.html,url-preconnect,50.529528,heavy
herokuapp_com.html,scr-preload,49.901832,heavy
herokuapp_com.html,scr-prefetch,48.64644,heavy
herokuapp_com.html,none,48.937719,heavy
herokuapp_com.html,img-preload,44.696232,heavy
herokuapp_com.html,img-prefetch,44.364888,heavy
herokuapp_com.html,css-preload,49.587984,heavy
herokuapp_com.html,css-prefetch,48.018744,heavy
hindustantimes_com.html,url-preconnect,46.763352,light
hindustantimes_com.html,scr-preload,48.332592,light
hindustantimes_com.html,scr-prefetch,45.7240896,light
hindustantimes_com.html,none,52.152552,light
hindustantimes_com.html,img-preload,41.6727792,light
hindustantimes_com.html,img-prefetch,41.7374208,light
hindustantimes_com.html,css-preload,46.920276,light
hindustantimes_com.html,css-prefetch,42.683328,light
hollywoodreporter_com.html,url-preconnect,47.704896,light
hollywoodreporter_com.html,scr-preload,46.449504,light
hollywoodreporter_com.html,scr-prefetch,45.978732,light
hollywoodreporter_com.html,none,52.042881,light
hollywoodreporter_com.html,img-preload,45.5060592,light
hollywoodreporter_com.html,img-prefetch,50.31396,light
hollywoodreporter_com.html,css-preload,42.997176,light
hollywoodreporter_com.html,css-prefetch,47.0772,light
hostgator_com.html,url-preconnect,47.704896,light
hostgator_com.html,scr-preload,43.311024,light
hostgator_com.html,scr-prefetch,44.2601712,light
hostgator_com.html,none,48.190133,light
hostgator_com.html,img-preload,37.51488,light
hostgator_com.html,img-prefetch,41.528592,light
hostgator_com.html,css-preload,47.547972,light
hostgator_com.html,css-prefetch,45.664884,light
icicibank_com.html,url-preconnect,49.274136,heavy
icicibank_com.html,scr-preload,45.351036,heavy
icicibank_com.html,scr-prefetch,47.3748912,heavy
icicibank_com.html,none,49.390833,heavy
icicibank_com.html,img-preload,37.7649792,heavy
icicibank_com.html,img-prefetch,47.181204,heavy
icicibank_com.html,css-preload,50.372604,heavy
icicibank_com.html,css-prefetch,48.803364,heavy
infonline_de.html,url-preconnect,46.29258,heavy
infonline_de.html,scr-preload,47.234124,heavy
infonline_de.html,scr-prefetch,41.741784,heavy
infonline_de.html,none,49.447586,heavy
infonline_de.html,img-preload,47.7798048,heavy
infonline_de.html,img-prefetch,38.732256,heavy
infonline_de.html,css-preload,48.018744,heavy
infonline_de.html,css-prefetch,46.763352,heavy
intel_com.html,url-preconnect,43.93872,heavy
intel_com.html,scr-preload,44.566416,heavy
intel_com.html,scr-prefetch,44.095644,heavy
intel_com.html,none,44.911013,heavy
intel_com.html,img-preload,44.1355824,heavy
intel_com.html,img-prefetch,41.516928,heavy
intel_com.html,css-preload,42.840252,heavy
intel_com.html,css-prefetch,39.544848,heavy
investing_com.html,url-preconnect,44.72334,heavy
investing_com.html,scr-preload,54.766476,heavy
investing_com.html,scr-prefetch,46.606428,heavy
investing_com.html,none,49.403066,heavy
investing_com.html,img-preload,37.5461424,heavy
investing_com.html,img-prefetch,44.396532,heavy
investing_com.html,css-preload,49.43106,heavy
investing_com.html,css-prefetch,47.234124,heavy
jstor_org.html,url-preconnect,44.095644,heavy
jstor_org.html,scr-preload,46.449504,heavy
jstor_org.html,scr-prefetch,45.821808,heavy
jstor_org.html,none,46.553973,heavy
jstor_org.html,img-preload,44.851968,heavy
jstor_org.html,img-prefetch,38.637324,heavy
jstor_org.html,css-preload,45.978732,heavy
jstor_org.html,css-prefetch,43.624872,heavy
lenta_ru.html,url-preconnect,46.449504,light
lenta_ru.html,scr-preload,46.449504,light
lenta_ru.html,scr-prefetch,52.098768,light
lenta_ru.html,none,56.222679,light
lenta_ru.html,img-preload,47.1257136,light
lenta_ru.html,img-prefetch,53.098632,light
lenta_ru.html,css-preload,47.704896,light
lenta_ru.html,css-prefetch,49.587984,light
livejournal_com.html,url-preconnect,58.06188,heavy
livejournal_com.html,scr-preload,56.178792,heavy
livejournal_com.html,scr-prefetch,57.120336,heavy
livejournal_com.html,none,65.735378,heavy
livejournal_com.html,img-preload,55.8780768,heavy
livejournal_com.html,img-prefetch,61.895664,heavy
livejournal_com.html,css-preload,60.101892,heavy
livejournal_com.html,css-prefetch,59.944968,heavy
luminate_com.html,url-preconnect,42.212556,heavy
luminate_com.html,scr-preload,41.58486,heavy
luminate_com.html,scr-prefetch,42.36948,heavy
luminate_com.html,none,46.339212,heavy
luminate_com.html,img-preload,45.4437648,heavy
luminate_com.html,img-prefetch,43.447212,heavy
luminate_com.html,css-preload,46.29258,heavy
luminate_com.html,css-prefetch,42.212556,heavy
marketwatch_com.html,url-preconnect,55.864944,heavy
marketwatch_com.html,scr-preload,59.317272,heavy
marketwatch_com.html,scr-prefetch,52.412616,heavy
marketwatch_com.html,none,59.095195,heavy
marketwatch_com.html,img-preload,37.7962416,heavy
marketwatch_com.html,img-prefetch,46.231884,heavy
marketwatch_com.html,css-preload,59.160348,heavy
marketwatch_com.html,css-prefetch,47.0772,heavy
marriott_com.html,url-preconnect,49.901832,heavy
marriott_com.html,scr-preload,46.763352,heavy
marriott_com.html,scr-prefetch,48.9633984,heavy
marriott_com.html,none,51.208927,heavy
marriott_com.html,img-preload,37.7337168,heavy
marriott_com.html,img-prefetch,44.3695104,heavy
marriott_com.html,css-preload,47.704896,heavy
marriott_com.html,css-prefetch,47.391048,heavy
mashable_com.html,url-preconnect,45.194112,light
mashable_com.html,scr-preload,47.0772,light
mashable_com.html,scr-prefetch,43.9486992,light
mashable_com.html,none,46.083316,light
mashable_com.html,img-preload,45.3617424,light
mashable_com.html,img-prefetch,42.3954432,light
mashable_com.html,css-preload,45.50796,light
mashable_com.html,css-prefetch,43.311024,light
mathtag_com.html,url-preconnect,45.821808,light
mathtag_com.html,scr-preload,44.72334,light
mathtag_com.html,scr-prefetch,44.4159072,light
mathtag_com.html,none,45.368192,light
mathtag_com.html,img-preload,38.510748,light
mathtag_com.html,img-prefetch,45.0780768,light
mathtag_com.html,css-preload,48.332592,light
mathtag_com.html,css-prefetch,44.095644,light
mirror_co_uk.html,url-preconnect,46.920276,heavy
mirror_co_uk.html,scr-preload,45.821808,heavy
mirror_co_uk.html,scr-prefetch,44.095644,heavy
mirror_co_uk.html,none,50.115349,heavy
mirror_co_uk.html,img-preload,46.1290032,heavy
mirror_co_uk.html,img-prefetch,39.555,heavy
mirror_co_uk.html,css-preload,43.93872,heavy
mirror_co_uk.html,css-prefetch,46.920276,heavy
mongodb_com.html,url-preconnect,47.234124,heavy
mongodb_com.html,scr-preload,44.72334,heavy
mongodb_com.html,scr-prefetch,48.018744,heavy
mongodb_com.html,none,47.506737,heavy
mongodb_com.html,img-preload,37.5461424,heavy
mongodb_com.html,img-prefetch,43.795296,heavy
mongodb_com.html,css-preload,51.0003,heavy
mongodb_com.html,css-prefetch,47.704896,heavy
mparticle_com.html,url-preconnect,45.821808,light
mparticle_com.html,scr-preload,46.135656,light
mparticle_com.html,scr-prefetch,45.351036,light
mparticle_com.html,none,53.552265,light
mparticle_com.html,img-preload,44.0109936,light
mparticle_com.html,img-prefetch,38.542392,light
mparticle_com.html,css-preload,54.766476,light
