website;r_hint;pow_10n;fcp_10n;size
marriott_com.html;scr-preload;46.30361609;1544.803157;heavy
marriott_com.html;url-preconnect;46.5105762;1360.726279;heavy
paypal_com.html;css-prefetch;46.89947618;917.471999;heavy
paypal_com.html;css-preload;45.5564905;910.1623496;heavy
paypal_com.html;img-prefetch;45.39543299;915.9040874;heavy
paypal_com.html;img-preload;46.21260621;912.6025272;heavy
paypal_com.html;none;48.13300095;891.4361702;heavy
paypal_com.html;scr-prefetch;46.42361189;860.1615587;heavy
paypal_com.html;scr-preload;44.94419161;878.3698304;heavy
paypal_com.html;url-preconnect;45.0223224;948.6628849;heavy
python_org.html;css-prefetch;43.56253652;836.9970423;light
python_org.html;css-preload;44.53962153;835.1767642;light
python_org.html;img-prefetch;44.61452112;856.3878678;light
python_org.html;img-preload;42.66794445;831.1178587;light
python_org.html;none;44.91127336;837.8281129;light
python_org.html;scr-prefetch;44.39367923;829.9085311;light
python_org.html;scr-preload;44.23251708;839.6112199;light
python_org.html;url-preconnect;42.95029047;853.3900316;light
redgifs_com.html;css-prefetch;43.94842501;1728.5;heavy
redgifs_com.html;css-preload;43.8159581;1728.5;heavy
redgifs_com.html;img-prefetch;43.3747208;1728.5;heavy
redgifs_com.html;img-preload;43.82672089;1728.5;heavy
redgifs_com.html;none;45.02861547;1728.5;heavy
redgifs_com.html;scr-prefetch;44.52190044;1728.5;heavy
redgifs_com.html;scr-preload;43.2103024;1728.5;heavy
redgifs_com.html;url-preconnect;44.01913705;1728.5;heavy
slideshare_net.html;css-prefetch;43.5483668;1137.242991;heavy
slideshare_net.html;css-preload;45.91785268;1080.474157;heavy
slideshare_net.html;img-prefetch;43.79550599;1088.680439;heavy
slideshare_net.html;img-preload;44.68061998;1101.136175;heavy
slideshare_net.html;none;45.58295844;1121.8431;heavy
slideshare_net.html;scr-prefetch;44.35146402;1040.137829;heavy
slideshare_net.html;scr-preload;44.98667038;1048.39351;heavy
slideshare_net.html;url-preconnect;42.89588643;1107.866888;heavy
squarespace_com.html;css-prefetch;47.01912673;939.8040087;light
squarespace_com.html;css-preload;46.20405913;915.3741174;light
squarespace_com.html;img-prefetch;47.36051581;895.8162139;light
squarespace_com.html;img-preload;48.52854599;972.2628932;light
squarespace_com.html;none;47.9076061;968.9449844;light
squarespace_com.html;scr-prefetch;46.15116611;1014.991804;light
squarespace_com.html;scr-preload;46.17234857;957.9036906;light
squarespace_com.html;url-preconnect;47.68768973;950.6179139;light
taobao_com.html;css-prefetch;45.34502102;1268.260395;heavy
taobao_com.html;css-preload;45.35888203;1257.525718;heavy
taobao_com.html;img-prefetch;45.7320519;1198.790578;heavy
taobao_com.html;img-preload;45.38122328;1153.648324;heavy
taobao_com.html;none;44.97936173;1197.413505;heavy
taobao_com.html;scr-prefetch;45.57343231;1241.646698;heavy
taobao_com.html;scr-preload;45.23883525;1114.957517;heavy
taobao_com.html;url-preconnect;45.48639382;1278.751052;heavy
ted_com.html;css-prefetch;45.35281814;1326.64645;heavy
ted_com.html;css-preload;45.74849842;1418.499569;heavy
ted_com.html;img-prefetch;42.8089665;1153.322086;heavy
ted_com.html;img-preload;45.35170792;1026.288332;heavy
ted_com.html;none;45.24397268;1309.648636;heavy
ted_com.html;scr-prefetch;45.67743651;1313.295198;heavy
ted_com.html;scr-preload;45.23749909;1179.315077;heavy
ted_com.html;url-preconnect;43.38722274;1271.362814;heavy
time_com.html;css-prefetch;46.22572224;972.3832003;heavy
time_com.html;css-preload;48.11310316;1041.395201;heavy
time_com.html;img-prefetch;48.11658551;1054.400432;heavy
time_com.html;img-preload;47.0552663;1040.39713;heavy
time_com.html;none;46.18895296;1035.602654;heavy
time_com.html;scr-prefetch;47.43748805;981.3240037;heavy
time_com.html;scr-preload;46.63827387;989.3876652;heavy
time_com.html;url-preconnect;46.63827023;1079.509964;heavy
timeanddate_com.html;css-prefetch;44.19148366;836.7155125;light
timeanddate_com.html;css-preload;44.42493137;907.4333291;light
timeanddate_com.html;img-prefetch;43.89424381;840.2007316;light
timeanddate_com.html;img-preload;45.14581885;819.7630625;light
timeanddate_com.html;none;47.51071564;844.0521726;light
timeanddate_com.html;scr-prefetch;45.06767416;807.9748834;light
timeanddate_com.html;scr-preload;43.81095002;822.0650199;light
timeanddate_com.html;url-preconnect;44.67055286;836.5598821;light
trustpilot_com.html;css-prefetch;44.148445;935.5905384;light
trustpilot_com.html;css-preload;44.77529905;941.4602067;light
trustpilot_com.html;img-prefetch;45.72052261;929.009557;light
trustpilot_com.html;img-preload;45.68164545;979.7405367;light
trustpilot_com.html;none;43.42860315;991.2478028;light
trustpilot_com.html;scr-prefetch;42.62835016;923.1130165;light
trustpilot_com.html;scr-preload;43.70891793;912.6526547;light
trustpilot_com.html;url-preconnect;44.8467012;973.8305945;light
txxx_com.html;css-prefetch;44.4016757;887.1;heavy
txxx_com.html;css-preload;43.66620567;887.1;heavy
txxx_com.html;img-prefetch;43.64746062;887.1;heavy
txxx_com.html;img-preload;43.87169457;887.1;heavy
txxx_com.html;none;44.03142948;887.1;heavy
txxx_com.html;scr-prefetch;43.6368113;887.1;heavy
txxx_com.html;scr-preload;43.76173487;887.1;heavy
txxx_com.html;url-preconnect;43.95578924;887.1;heavy
utorrent_com.html;css-prefetch;44.03271398;1915.808624;heavy
utorrent_com.html;css-preload;44.82607118;1867.941797;heavy
utorrent_com.html;img-prefetch;43.6938137;1965.177103;heavy
utorrent_com.html;img-preload;44.575358;2010.637942;heavy
utorrent_com.html;none;44.57922749;2074.346336;heavy
utorrent_com.html;scr-prefetch;44.83974463;1950.626882;heavy
utorrent_com.html;scr-preload;44.0827205;2010.772178;heavy
utorrent_com.html;url-preconnect;43.80708372;1946.335698;heavy
variety_com.html;css-prefetch;47.51311701;1043.908028;light
variety_com.html;css-preload;46.80576359;1008.924502;light
variety_com.html;img-prefetch;50.0042336;986.2249691;light
variety_com.html;img-preload;47.93783277;1004.128987;light
variety_com.html;none;51.28582573;1025.004586;light
variety_com.html;scr-prefetch;46.5185352;1007.892177;light
variety_com.html;scr-preload;51.24424939;1001.958473;light
variety_com.html;url-preconnect;47.68765288;965.3322362;light
vice_com.html;css-prefetch;44.08726327;949.8430517;light
vice_com.html;css-preload;44.19961571;854.9335774;light
vice_com.html;img-prefetch;43.83537807;952.3624313;light
vice_com.html;img-preload;44.68804601;937.1035399;light
vice_com.html;none;43.7281101;808.7028798;light
vice_com.html;scr-prefetch;43.85333037;806.8821515;light
vice_com.html;scr-preload;44.26592826;798.4544258;light
vice_com.html;url-preconnect;44.785531;827.6181552;light
wattpad_com.html;css-prefetch;42.97604808;1271.339511;heavy
wattpad_com.html;css-preload;45.13826266;1260.616778;heavy
wattpad_com.html;img-prefetch;44.87918357;1251.909954;heavy
wattpad_com.html;img-preload;43.82066466;1230.236698;heavy
wattpad_com.html;none;42.50050708;1268.694274;heavy
wattpad_com.html;scr-prefetch;45.08404134;1198.19594;heavy
wattpad_com.html;scr-preload;44.16819544;1290.234347;heavy
wattpad_com.html;url-preconnect;42.94099875;1242.405009;heavy
www_wixsite_com.html;css-prefetch;45.06235255;975.294183;heavy
www_wixsite_com.html;css-preload;46.03618927;1034.70509;heavy
www_wixsite_com.html;img-prefetch;44.58816776;992.4845964;heavy
www_wixsite_com.html;img-preload;45.31286981;1031.267559;heavy
www_wixsite_com.html;none;45.35606456;899.5231544;heavy
www_wixsite_com.html;scr-prefetch;45.7213117;905.9823834;heavy
www_wixsite_com.html;scr-preload;45.3281494;921.3440394;heavy
www_wixsite_com.html;url-preconnect;44.24294646;905.4856106;heavy
xing_com.html;css-prefetch;43.2695086;836.3605442;light
xing_com.html;css-preload;43.58088934;798.1237597;light
xing_com.html;img-prefetch;44.01823218;738.1392498;light
xing_com.html;img-preload;43.89253343;751.0850955;light
xing_com.html;none;44.59552905;768.083949;light
xing_com.html;scr-prefetch;43.31973857;801.0633339;light
xing_com.html;scr-preload;44.89637378;753.2316613;light
xing_com.html;url-preconnect;44.16183089;619.1259462;light
