Column1;Column2;Column3
lenta_ru-htm;scr-prefetch;1185.1
lenta_ru-htm;scr-preload;899.0
lenta_ru-htm;url-preconnect;1376.3
livejournal_com-htm;css-prefetch;1235.8
livejournal_com-htm;css-preload;2724.3
livejournal_com-htm;img-prefetch;1714.0
livejournal_com-htm;img-preload;1313.3
livejournal_com-htm;none;1376.3
livejournal_com-htm;scr-prefetch;1222.1
livejournal_com-htm;scr-preload;1402.8
livejournal_com-htm;url-preconnect;1288.5
luminate_com-htm;css-prefetch;416.9
luminate_com-htm;css-preload;882.3
luminate_com-htm;img-prefetch;690.7
luminate_com-htm;img-preload;785.7
luminate_com-htm;none;523.4
luminate_com-htm;scr-prefetch;887.4
luminate_com-htm;scr-preload;744.0
luminate_com-htm;url-preconnect;847.2
marriott_com-htm;css-prefetch;1052.9
marriott_com-htm;css-preload;1791.5
marriott_com-htm;img-prefetch;1196.8
marriott_com-htm;img-preload;1325.8
marriott_com-htm;none;1458.6
marriott_com-htm;scr-prefetch;1633.8
marriott_com-htm;scr-preload;1380.0
marriott_com-htm;url-preconnect;964.5
namecheap_com-htm;css-prefetch;950.0
namecheap_com-htm;css-preload;1232.0
namecheap_com-htm;img-prefetch;1906.3
namecheap_com-htm;img-preload;1745.7
namecheap_com-htm;none;1105.5
namecheap_com-htm;scr-prefetch;1229.5
namecheap_com-htm;scr-preload;898.0
namecheap_com-htm;url-preconnect;845.5
nexon_com-htm;css-prefetch;3507.4
nexon_com-htm;css-preload;3507.4
nexon_com-htm;img-prefetch;3507.4
nexon_com-htm;img-preload;3507.4
nexon_com-htm;none;3507.4
nexon_com-htm;scr-prefetch;3507.4
nexon_com-htm;scr-preload;3507.4
nexon_com-htm;url-preconnect;3507.4
nextdoor_com-htm;css-prefetch;4047.6
nextdoor_com-htm;css-preload;2867.2
nextdoor_com-htm;img-prefetch;3098.8
nextdoor_com-htm;img-preload;3120.2
nextdoor_com-htm;none;3939.4
nextdoor_com-htm;scr-prefetch;3228.3
nextdoor_com-htm;scr-preload;3699.1
nextdoor_com-htm;url-preconnect;2816.4
nfl_com-htm;css-prefetch;1831.1
nfl_com-htm;css-preload;1370.4
nfl_com-htm;img-prefetch;1271.1
nfl_com-htm;img-preload;1359.8
nfl_com-htm;none;884.6
nfl_com-htm;scr-prefetch;1253.7
nfl_com-htm;scr-preload;1151.8
nfl_com-htm;url-preconnect;2047.2
no-ip_com-htm;css-prefetch;2486.9
no-ip_com-htm;css-preload;1971.9
no-ip_com-htm;img-prefetch;2541.6
no-ip_com-htm;img-preload;2464.5
no-ip_com-htm;none;2532.9
no-ip_com-htm;scr-prefetch;1519.8
no-ip_com-htm;scr-preload;2336.6
no-ip_com-htm;url-preconnect;2317.1
paypal_com-htm;css-prefetch;1429.8
paypal_com-htm;css-preload;1009.9
paypal_com-htm;img-prefetch;955.4
paypal_com-htm;img-preload;638.5
paypal_com-htm;none;945.8
paypal_com-htm;scr-prefetch;650.0
paypal_com-htm;scr-preload;978.1
paypal_com-htm;url-preconnect;895.0
python_org-htm;css-prefetch;828.1
python_org-htm;css-preload;800.8
python_org-htm;img-prefetch;880.4
python_org-htm;img-preload;856.0
python_org-htm;none;875.7
python_org-htm;scr-prefetch;877.5
python_org-htm;scr-preload;781.9
python_org-htm;url-preconnect;791.9
qualtrics_com-htm;css-prefetch;6260.4
qualtrics_com-htm;css-preload;6152.9
qualtrics_com-htm;img-prefetch;7012.5
qualtrics_com-htm;img-preload;5867.9
qualtrics_com-htm;none;6021.7
qualtrics_com-htm;scr-prefetch;6323.2
qualtrics_com-htm;scr-preload;6008.0
qualtrics_com-htm;url-preconnect;5633.3
rapid7_com-htm;css-prefetch;1891.6
rapid7_com-htm;css-preload;2040.0
rapid7_com-htm;img-prefetch;1905.8
rapid7_com-htm;img-preload;1966.8
rapid7_com-htm;none;1839.6
rapid7_com-htm;scr-prefetch;1837.9
rapid7_com-htm;scr-preload;1728.5
rapid7_com-htm;url-preconnect;1828.1
redgifs_com-htm;css-prefetch;1728.5
redgifs_com-htm;css-preload;1728.5
redgifs_com-htm;img-prefetch;1728.5
redgifs_com-htm;img-preload;1728.5
redgifs_com-htm;none;1728.5
redgifs_com-htm;scr-prefetch;1728.5
redgifs_com-htm;scr-preload;1728.5
redgifs_com-htm;url-preconnect;1728.5
ring_com-htm;css-prefetch;980.3
ring_com-htm;css-preload;907.3
ring_com-htm;img-prefetch;919.8
ring_com-htm;img-preload;786.1
ring_com-htm;none;688.4
